time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
82560,117.0,199.0,0.64,0.85,50.0,0.79,33.0,90.0,56.0,0
82570,117.0,199.0,0.64,0.85,50.0,0.79,33.0,90.0,56.0,0
82580,117.0,199.0,0.64,0.85,50.0,0.79,30.0,90.0,56.0,0
82590,117.0,199.0,0.64,0.85,50.0,0.79,33.0,90.0,56.0,0
82600,117.0,199.0,0.64,0.85,50.0,0.79,32.0,90.0,56.0,0
82610,117.0,199.0,0.64,0.85,50.0,0.79,31.0,90.0,56.0,0
82620,117.0,199.0,0.64,0.85,50.0,0.79,31.0,90.0,56.0,0
82630,117.0,199.0,0.64,0.85,50.0,0.79,32.0,90.0,56.0,0
82640,117.0,199.0,0.64,0.85,50.0,0.79,32.0,90.0,56.0,0
82650,117.0,199.0,0.64,0.85,50.0,0.79,34.0,91.0,56.0,0
82660,117.0,199.0,0.64,0.85,50.0,0.79,35.0,90.0,56.0,0
82670,117.0,199.0,0.64,0.85,50.0,0.79,35.0,91.0,56.0,0
82680,117.0,199.0,0.64,0.85,50.0,0.79,36.0,91.0,56.0,0
82690,117.0,199.0,0.64,0.85,50.0,0.79,35.0,91.0,56.0,0
82710,117.0,199.0,0.64,0.85,50.0,0.79,32.0,91.0,56.0,0
82720,117.0,199.0,0.64,0.85,50.0,0.79,33.0,92.0,56.0,0
82730,117.0,199.0,0.64,0.85,50.0,0.79,32.0,91.0,56.0,0
82740,117.0,199.0,0.64,0.85,50.0,0.79,32.0,92.0,54.0,0
82780,96.0,102.0,0.17,0.23,100.0,1.53,27.0,89.0,54.0,0
82790,96.0,102.0,0.17,0.23,100.0,1.53,26.0,88.0,54.0,0
82800,96.0,102.0,0.17,0.23,100.0,1.53,27.0,88.0,56.0,0
82810,96.0,102.0,0.17,0.23,100.0,1.53,32.0,88.0,56.0,0
